Flat profile of libsolarus.so.1 (LD_PROFILE, symbolized by sprof_parse.py; glibc sprof broken by dlmopen assertion)
total samples: 6866  rate: 100 Hz  => 68.66 s of libsolarus self-time
text range: 0x0..0x2e1000  bins: 754688 x 4 B  unmapped samples: 15 (0.22%)
CAVEATS: (1) the "_init" bucket is really the .plt region (0xc6d28..0xd1ee8 follows _init with no
covering symbol) = PLT stubs + LD_PROFILE's forced-lazy audit trampoline on every cross-DSO call —
mostly profiling-mode overhead, discount it. (2) samples cover ALL threads (SIGPROF is process-wide):
the lua-console stdin thread busy-polls MainLoop::is_exiting() (173M arc calls over the run) and owns
ranks 2-3. POSSIBLE REAL FINDING, not just an artifact: the daemon launches the engine with stdin from
/dev/null, so getline() hits EOF instantly and this thread likely spins a whole A9 core in SHIP runs too
(competing with the core-1 audio thread). Cheap fix candidate: launch with -lua-console=no.

  %   cumulative   self              self
 time   seconds   seconds    calls  name
 30.72      21.09     21.09        -  _init
 16.11      32.15     11.06        -  std::thread::_State_impl<std::thread::_Invoker<std::tuple<Solarus::MainLoop::initialize_lua_console()::{lambda()#1}> > >::_M_run()
 10.30      39.22      7.07        -  Solarus::MainLoop::is_exiting()
  3.39      41.55      2.33        -  Solarus::Quadtree<std::shared_ptr<Solarus::Entity>, Solarus::EntityZOrderComparator>::Node::get_elements(Solarus::Rectangle const&, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > >&) const
  1.92      42.87      1.32        -  (anonymous namespace)::audio_thread_main(void*)
  1.35      43.80      0.93        -  Solarus::Entities::update()
  1.17      44.60      0.80        -  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, __gnu_cxx::__ops::_Val_comp_iter<Solarus::EntityZOrderComparator> >(__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, __gnu_cxx::__ops::_Val_comp_iter<Solarus::EntityZOrderComparator>)
  1.06      45.33      0.73        -  __gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > > std::__unique<__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, __gnu_cxx::__ops::_Iter_comp_iter<Solarus::Quadtree<std::shared_ptr<Solarus::Entity>, Solarus::EntityZOrderComparator>::get_elements(Solarus::Rectangle const&) const::{lambda(std::shared_ptr<Solarus::Entity> const&, std::shared_ptr<Solarus::Entity> const&)#1}> >(__gnu_cxx::__ops::_Iter_comp_iter<Solarus::Quadtree<std::shared_ptr<Solarus::Entity>, Solarus::EntityZOrderComparator>::get_elements(Solarus::Rectangle const&) const::{lambda(std::shared_ptr<Solarus::Entity> const&, std::shared_ptr<Solarus::Entity> const&)#1}>, __gnu_cxx::__ops::_Iter_comp_iter<Solarus::Quadtree<std::shared_ptr<Solarus::Entity>, Solarus::EntityZOrderComparator>::get_elements(Solarus::Rectangle const&) const::{lambda(std::shared_ptr<Solarus::Entity> const&, std::shared_ptr<Solarus::Entity> const&)#1}>, __gnu_cxx::__ops::_Iter_comp_iter<Solarus::Quadtree<std::shared_ptr<Solarus::Entity>, Solarus::EntityZOrderComparator>::get_elements(Solarus::Rectangle const&) const::{lambda(std::shared_ptr<Solarus::Entity> const&, std::shared_ptr<Solarus::Entity> const&)#1}>)
  0.99      46.01      0.68        -  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.96      46.67      0.66        -  Solarus::LuaContext::userdata_has_field(Solarus::ExportableToLua const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
